name,feh,phase,Teff,loggg,etat,mh,fehI,err_fehI,num_fehI,fehII,err_fehII,num_fehII
AN Ser,−0.04,0.22,6850,2.10,3.1,0.00,0.05,0.11,77,0.01,0.14,10
AN Ser,−0.04,0.32,6550,2.20,3.0,−0.10,0.08,0.13,70,0.03,0.19,10
AN Ser,−0.04,0.58,6400,2.60,3.1,0.00,0.06,0.15,57,0.04,0.20,12
VY Ser,−1.29,0.23,6200,1.85,2.9,−1.80,−1.92,0.09,105,−1.90,0.14,28
VY Ser,−1.29,0.29,6200,1.85,2.9,−1.80,−1.86,0.10,114,−1.86,0.11,31
VY Ser,−1.29,0.37,6100,1.85,2.8,−1.70,−1.86,0.10,123,−1.86,0.13,31
1645v Sgr,−1.74,0.50,6200,2.00,3.0,−1.80,−1.81,0.13,109,−1.79,0.14,23
W Tuc,−1.64,0.28,6350,1.75,3.0,−1.70,−1.75,0.14,91,−1.73,0.11,27
W Tuc,−1.64,0.40,6100,1.85,3.0,−1.70,−1.77,0.11,114,−1.67,0.17,29
W Tuc,−1.64,0.48,6100,1.85,3.0,−1.70,−1.79,0.13,108,−1.81,0.13,29
CD Vel,K,0.50,6050,1.70,3.0,−1.70,−1.71,0.12,102,−1.73,0.08,22
AS Vir,−1.49,0.50,6000,1.70,2.8,−1.50,−1.59,0.12,108,−1.54,0.15,23
ST Vir,−0.88,0.07,7650,2.00,3.3,−0.90,−0.80,0.16,70,−0.79,0.15,22
Star,[Fe/H],f,Teff,log g,ξt,[M/H],[Fe/H],σ,"#",[Fe/H],σ,"#"
"",Lay94,,K,,km s−1,model,I,I,I,II,II,II
ST Vir,−0.88,0.29,6450,1.90,3.1,−0.90,−0.91,0.13,113,−0.89,0.12,20
ST Vir,−0.88,0.51,6300,2.20,2.8,−0.90,−0.85,0.15,100,−0.82,0.19,22
ST Vir,−0.88,0.74,6300,2.20,3.8,−0.90,−0.88,0.15,78,−0.92,0.21,18
ST Vir,−0.88,0.82,6350,2.10,3.7,−0.90,−0.81,0.14,67,−0.89,0.13,13
UU VIr,−0.82,0.25,6450,2.00,2.6,−0.90,−0.97,0.14,114,−0.96,0.19,25
UU Vir,−0.82,0.33,6350,2.00,2.9,−0.90,−0.90,0.10,112,−0.89,0.12,22
UU Vir,−0.82,0.44,6200,1.90,2.7,−0.90,−0.93,0.11,113,−0.92,0.21,25
